Tool,Layer,What It Does,LLM-First?,Screen Demo / Review?,End-to-End?,Simplicity,Est.Cost,License,Stars
OpenMontage,Full Pipeline (Production),"Research → script → assets → render. 12 pipelines 500+ skills. Dedicated Screen Demo pipeline.",Yes - AI coding assistant IS the orchestrator,Yes - dedicated Screen Demo pipeline,Yes - complete pipeline,⭐⭐ (needs AI coding assistant),~$0.69/video,AGPL-3.0,3100
ShortGPT,Full Pipeline (Production),"Python framework: script → voiceover → footage → edit → captions",LLM-assisted but pipeline-defined,Not native - adaptable,Yes - script to video,⭐⭐⭐ (pip install),~$0.10-0.50/video,MIT,2500
OpenReels,Full Pipeline (Production),"Topic → vertical short. Research script visuals music captions render.",LLM-assisted but pipeline-defined,No - vertical shorts only,Yes - topic to MP4,⭐⭐⭐⭐ (one command Docker),~$0.68/video,MIT,60
AgentCut,Full Pipeline (Production),"6 agents: Director → Script → Visual/Voice/Music (parallel) → Editor",Uses LLM for direction,No - needs video gen APIs,Yes - prompt to video,⭐⭐⭐ (FastAPI backend),API costs,MIT,100
UniVA,Full Pipeline (Production),"Plan-and-Act dual-agent. MCP-native. Multi-round editing.",Yes - fully agent-driven,Can be adapted,Yes - end-to-end workspace,⭐⭐ (complex setup),API costs,MIT,400
Agentic Video Editor,Full Pipeline (Production),"Raw footage + brief → Director → Trim Refiner → Editor → Reviewer",Yes - multi-agent with Gemini,Needs source footage,Yes - edits into polished video,⭐⭐⭐ (CLI),API costs,MIT,80
Testreel,Screen Recording (Capture),"Programmatic web recordings via Playwright. JSON → MP4 with cursor + chrome.",Yes - made for LLM agents,Yes - designed for software demos,No - capture only,⭐⭐⭐⭐⭐ (JSON config),Free,MIT,50
ProofShot,Screen Recording (Capture),"Records browser sessions. Video + screenshots + error logs + PR upload.",Yes - agent-agnostic,Yes - built for agent software interaction,No - verification only,⭐⭐⭐⭐⭐ (start/test/stop CLI),Free,MIT,735
ScreenMuse,Screen Recording (Capture),"macOS recorder. Activity detection keystroke overlay chapter markers.",Yes - built for AI agents,Yes - macOS software recording,No - capture only,⭐⭐⭐⭐ (native macOS app),Free,MIT,N/A
Bloom,Screen Recording (Capture),"Open-source Loom. Local-first recording + AI transcripts search chat.",AI-ready,Yes - screen recording,No - recording + analysis,⭐⭐⭐⭐ (desktop app),Usage-based cloud,MIT,200
